date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,sentiment,clean_review
,Review title 25,"Average experience, some features could be improved.",3,user25,75,7,Flipkart,fr,USA,4.2.1,Yes,Neutral,average experience feature could improved
,Review title 235,"Not bad, but updates are needed for better performance.",3,user235,101,9,Amazon,de,USA,2.1.4,Yes,Neutral,bad update needed better performance
,Review title 41,"Very disappointing experience, the app crashes often.",2,user41,105,7,Google Play,fr,Qatar,5.0.3,Yes,Negative,disappointing experience app crash often
,Review title 339,"Terrible experience, needs major improvements.",1,user339,52,5,App Store,fr,Qatar,2.1.4,No,Negative,terrible experience need major improvement
2024-01-04,Review title 402,Very reliable and worth using regularly.,4,user402,90,6,Google Play,zh,France,2.1.4,No,Positive,reliable worth using regularly
2024-03-02,Review title 329,"Great experience, smooth performance and useful features.",5,user329,128,7,Amazon,en,Italy,4.2.1,No,Positive,great experience smooth performance useful feature
,Review title 490,"Great experience, smooth performance and useful features.",4,user490,101,7,App Store,zh,Qatar,4.2.1,No,Positive,great experience smooth performance useful feature
2024-03-01,Review title 193,"Great experience, smooth performance and useful features.",4,user193,60,7,Flipkart,pt,Germany,2.1.4,Yes,Positive,great experience smooth performance useful feature
2025-01-05,Review title 435,"Excellent app, very easy to use and extremely helpful.",4,user435,188,9,Website,de,Kenya,1.2.3,Yes,Positive,excellent app easy use extremely helpful
2024-01-09,Review title 275,Poor performance and not user-friendly.,1,user275,182,5,App Store,es,Poland,4.2.1,No,Negative,poor performance userfriendly
2025-03-03,Review title 130,The app is okay and does its job reasonably well.,3,user130,193,10,Amazon,hi,Germany,3.5.6,No,Neutral,app okay job reasonably well
2024-08-09,Review title 268,"Decent app, neither too good nor too bad.",3,user268,93,8,Website,zh,Italy,5.0.3,Yes,Neutral,decent app neither good bad
,Review title 180,Very reliable and worth using regularly.,4,user180,16,6,Flipkart,es,USA,1.2.3,Yes,Positive,reliable worth using regularly
,Review title 362,"Not bad, but updates are needed for better performance.",3,user362,195,9,Website,de,Kenya,1.2.3,Yes,Neutral,bad update needed better performance
,Review title 200,"Not bad, but updates are needed for better performance.",3,user200,112,9,Flipkart,es,Italy,3.5.6,Yes,Neutral,bad update needed better performance
,Review title 207,"Great experience, smooth performance and useful features.",5,user207,25,7,Google Play,zh,Kenya,2.1.4,Yes,Positive,great experience smooth performance useful feature
2025-04-04,Review title 118,Poor performance and not user-friendly.,2,user118,176,5,Google Play,de,Italy,3.5.6,No,Negative,poor performance userfriendly
,Review title 237,"Waste of time, does not meet expectations.",2,user237,161,7,Website,ja,Poland,5.0.3,No,Negative,waste time meet expectation
,Review title 14,"Highly satisfied, the app works exactly as expected.",4,user14,51,8,Flipkart,pt,UK,5.0.3,Yes,Positive,highly satisfied app work exactly expected
,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No,Neutral,bad update needed better performance
,Review title 484,"Not satisfied, many bugs and issues.",2,user484,80,6,App Store,hi,Nepal,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 248,Works fine but there is room for improvement.,3,user248,22,8,App Store,ar,Nepal,3.5.6,No,Neutral,work fine room improvement
2024-02-03,Review title 212,"Average experience, some features could be improved.",3,user212,184,7,App Store,hi,India,2.1.4,No,Neutral,average experience feature could improved
,Review title 422,"Waste of time, does not meet expectations.",1,user422,9,7,Amazon,de,Kenya,4.2.1,Yes,Negative,waste time meet expectation
,Review title 452,"Not satisfied, many bugs and issues.",1,user452,50,6,Google Play,pt,Nepal,4.2.1,Yes,Negative,satisfied many bug issue
,Review title 116,"Average experience, some features could be improved.",3,user116,106,7,Flipkart,en,Kenya,5.0.3,Yes,Neutral,average experience feature could improved
,Review title 215,"Not bad, but updates are needed for better performance.",3,user215,193,9,App Store,zh,Italy,4.2.1,Yes,Neutral,bad update needed better performance
,Review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,Website,pt,USA,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 77,"Average experience, some features could be improved.",3,user77,139,7,Flipkart,zh,Poland,3.5.6,Yes,Neutral,average experience feature could improved
,Review title 258,Works fine but there is room for improvement.,3,user258,95,8,Google Play,zh,Italy,4.2.1,Yes,Neutral,work fine room improvement
,Review title 91,"Waste of time, does not meet expectations.",2,user91,26,7,Amazon,en,Poland,1.2.3,No,Negative,waste time meet expectation
2024-02-06,Review title 183,Very reliable and worth using regularly.,5,user183,170,6,Flipkart,ja,USA,5.0.3,No,Positive,reliable worth using regularly
,Review title 86,Very reliable and worth using regularly.,5,user86,136,6,Google Play,pt,Italy,1.2.3,Yes,Positive,reliable worth using regularly
,Review title 368,"Excellent app, very easy to use and extremely helpful.",5,user368,64,9,Google Play,ar,France,5.0.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 149,"Very disappointing experience, the app crashes often.",2,user149,17,7,Flipkart,ar,France,4.2.1,No,Negative,disappointing experience app crash often
,Review title 296,Poor performance and not user-friendly.,2,user296,59,5,App Store,pt,India,4.2.1,No,Negative,poor performance userfriendly
,Review title 191,"Terrible experience, needs major improvements.",2,user191,121,5,Flipkart,es,Kenya,1.2.3,Yes,Negative,terrible experience need major improvement
,Review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,Website,pt,USA,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 439,"Not bad, but updates are needed for better performance.",3,user439,42,9,App Store,en,India,3.5.6,No,Neutral,bad update needed better performance
,Review title 152,Very reliable and worth using regularly.,4,user152,149,6,Amazon,ar,France,3.5.6,No,Positive,reliable worth using regularly
,Review title 172,"Waste of time, does not meet expectations.",2,user172,163,7,Amazon,fr,Poland,4.2.1,Yes,Negative,waste time meet expectation
,Review title 226,"Terrible experience, needs major improvements.",2,user226,150,5,Google Play,en,USA,5.0.3,No,Negative,terrible experience need major improvement
,Review title 129,"Terrible experience, needs major improvements.",1,user129,121,5,Website,hi,Italy,5.0.3,No,Negative,terrible experience need major improvement
,Review title 159,"Terrible experience, needs major improvements.",1,user159,155,5,Google Play,hi,France,2.1.4,No,Negative,terrible experience need major improvement
,Review title 27,Amazing quality and user-friendly interface.,4,user27,43,5,Flipkart,pt,Kenya,3.5.6,Yes,Positive,amazing quality userfriendly interface
2024-03-07,Review title 428,"Decent app, neither too good nor too bad.",3,user428,69,8,Google Play,ja,Nepal,4.2.1,No,Neutral,decent app neither good bad
2024-09-07,Review title 214,"Excellent app, very easy to use and extremely helpful.",4,user214,132,9,Website,es,Poland,3.5.6,Yes,Positive,excellent app easy use extremely helpful
,Review title 229,Very reliable and worth using regularly.,5,user229,103,6,Google Play,fr,Germany,5.0.3,Yes,Positive,reliable worth using regularly
,Review title 272,"Not satisfied, many bugs and issues.",1,user272,161,6,App Store,fr,Kenya,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 99,"Not bad, but updates are needed for better performance.",3,user99,147,9,Flipkart,en,France,5.0.3,No,Neutral,bad update needed better performance
,Review title 1,"Not satisfied, many bugs and issues.",1,user1,80,6,Amazon,zh,Kenya,2.1.4,No,Negative,satisfied many bug issue
,Review title 199,Amazing quality and user-friendly interface.,4,user199,66,5,App Store,es,Germany,3.5.6,Yes,Positive,amazing quality userfriendly interface
,Review title 249,"Decent app, neither too good nor too bad.",3,user249,37,8,Google Play,de,India,5.0.3,No,Neutral,decent app neither good bad
2025-01-07,Review title 335,"Great experience, smooth performance and useful features.",4,user335,22,7,Flipkart,ar,France,5.0.3,No,Positive,great experience smooth performance useful feature
2024-03-01,Review title 420,"Very disappointing experience, the app crashes often.",1,user420,124,7,Flipkart,es,France,5.0.3,No,Negative,disappointing experience app crash often
,Review title 423,Poor performance and not user-friendly.,2,user423,130,5,App Store,de,UK,5.0.3,No,Negative,poor performance userfriendly
,Review title 488,"Decent app, neither too good nor too bad.",3,user488,28,8,Flipkart,hi,Qatar,4.2.1,No,Neutral,decent app neither good bad
,Review title 499,"Highly satisfied, the app works exactly as expected.",4,user499,68,8,Google Play,zh,Nepal,1.2.3,Yes,Positive,highly satisfied app work exactly expected
,Review title 441,"Not bad, but updates are needed for better performance.",3,user441,74,9,Flipkart,zh,Qatar,4.2.1,No,Neutral,bad update needed better performance
,Review title 99,"Not bad, but updates are needed for better performance.",3,user99,147,9,Flipkart,en,France,5.0.3,No,Neutral,bad update needed better performance
,Review title 249,"Decent app, neither too good nor too bad.",3,user249,37,8,Google Play,de,India,5.0.3,No,Neutral,decent app neither good bad
,Review title 129,"Terrible experience, needs major improvements.",1,user129,121,5,Website,hi,Italy,5.0.3,No,Negative,terrible experience need major improvement
,Review title 315,"Terrible experience, needs major improvements.",1,user315,11,5,App Store,hi,India,3.5.6,No,Negative,terrible experience need major improvement
,Review title 380,"Terrible experience, needs major improvements.",2,user380,120,5,Google Play,fr,USA,2.1.4,No,Negative,terrible experience need major improvement
,Review title 351,Very reliable and worth using regularly.,5,user351,35,6,Flipkart,zh,Kenya,2.1.4,No,Positive,reliable worth using regularly
,Review title 52,The app is okay and does its job reasonably well.,3,user52,185,10,Google Play,fr,Kenya,3.5.6,No,Neutral,app okay job reasonably well
,Review title 52,The app is okay and does its job reasonably well.,3,user52,185,10,Google Play,fr,Kenya,3.5.6,No,Neutral,app okay job reasonably well
,Review title 343,Very reliable and worth using regularly.,5,user343,171,6,Website,zh,Poland,3.5.6,No,Positive,reliable worth using regularly
,Review title 21,"Highly satisfied, the app works exactly as expected.",4,user21,152,8,Google Play,zh,India,1.2.3,No,Positive,highly satisfied app work exactly expected
,Review title 191,"Terrible experience, needs major improvements.",2,user191,121,5,Flipkart,es,Kenya,1.2.3,Yes,Negative,terrible experience need major improvement
,Review title 31,"Average experience, some features could be improved.",3,user31,139,7,Website,es,Poland,5.0.3,No,Neutral,average experience feature could improved
2024-07-09,Review title 475,"Excellent app, very easy to use and extremely helpful.",4,user475,76,9,Amazon,de,Germany,1.2.3,No,Positive,excellent app easy use extremely helpful
,Review title 320,"Excellent app, very easy to use and extremely helpful.",5,user320,196,9,Flipkart,es,Nepal,3.5.6,Yes,Positive,excellent app easy use extremely helpful
2025-01-03,Review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,App Store,pt,UK,3.5.6,Yes,Neutral,decent app neither good bad
,Review title 48,"Not satisfied, many bugs and issues.",1,user48,87,6,Website,pt,USA,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 122,"Not bad, but updates are needed for better performance.",3,user122,26,9,App Store,ar,Poland,1.2.3,Yes,Neutral,bad update needed better performance
,Review title 263,Works fine but there is room for improvement.,3,user263,173,8,Amazon,fr,USA,1.2.3,No,Neutral,work fine room improvement
,Review title 216,Very reliable and worth using regularly.,5,user216,92,6,App Store,es,Kenya,2.1.4,No,Positive,reliable worth using regularly
,Review title 26,The app is okay and does its job reasonably well.,3,user26,88,10,Website,en,UK,1.2.3,Yes,Neutral,app okay job reasonably well
,Review title 436,Very reliable and worth using regularly.,5,user436,138,6,Flipkart,ar,Germany,5.0.3,No,Positive,reliable worth using regularly
,Review title 365,Very reliable and worth using regularly.,5,user365,101,6,Website,fr,Germany,5.0.3,No,Positive,reliable worth using regularly
,Review title 299,Works fine but there is room for improvement.,3,user299,167,8,Flipkart,ja,Poland,1.2.3,No,Neutral,work fine room improvement
,Review title 493,"Excellent app, very easy to use and extremely helpful.",4,user493,183,9,Flipkart,ja,Qatar,4.2.1,No,Positive,excellent app easy use extremely helpful
,Review title 190,Amazing quality and user-friendly interface.,5,user190,36,5,App Store,zh,Kenya,4.2.1,No,Positive,amazing quality userfriendly interface
,Review title 238,Very reliable and worth using regularly.,4,user238,194,6,Website,de,USA,2.1.4,Yes,Positive,reliable worth using regularly
2025-04-04,Review title 118,Poor performance and not user-friendly.,2,user118,176,5,Google Play,de,Italy,3.5.6,No,Negative,poor performance userfriendly
,Review title 178,"Excellent app, very easy to use and extremely helpful.",5,user178,76,9,Flipkart,de,Italy,2.1.4,No,Positive,excellent app easy use extremely helpful
,Review title 40,"Excellent app, very easy to use and extremely helpful.",4,user40,153,9,Google Play,en,USA,1.2.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 288,"Waste of time, does not meet expectations.",2,user288,198,7,Website,es,Italy,5.0.3,No,Negative,waste time meet expectation
,Review title 374,Amazing quality and user-friendly interface.,4,user374,137,5,Website,es,India,5.0.3,Yes,Positive,amazing quality userfriendly interface
2024-01-02,Review title 222,"Excellent app, very easy to use and extremely helpful.",4,user222,191,9,Flipkart,de,France,1.2.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 425,The app is okay and does its job reasonably well.,3,user425,43,10,Website,ja,USA,3.5.6,Yes,Neutral,app okay job reasonably well
,Review title 300,Amazing quality and user-friendly interface.,5,user300,2,5,Amazon,en,Italy,1.2.3,Yes,Positive,amazing quality userfriendly interface
,Review title 484,"Not satisfied, many bugs and issues.",2,user484,80,6,App Store,hi,Nepal,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 255,"Average experience, some features could be improved.",3,user255,20,7,App Store,en,Poland,4.2.1,Yes,Neutral,average experience feature could improved
,Review title 76,Amazing quality and user-friendly interface.,5,user76,77,5,Flipkart,es,Poland,5.0.3,No,Positive,amazing quality userfriendly interface
,Review title 2,Amazing quality and user-friendly interface.,5,user2,180,5,Flipkart,zh,France,1.2.3,No,Positive,amazing quality userfriendly interface
,Review title 122,"Not bad, but updates are needed for better performance.",3,user122,26,9,App Store,ar,Poland,1.2.3,Yes,Neutral,bad update needed better performance
,Review title 29,The app is okay and does its job reasonably well.,3,user29,118,10,App Store,fr,Italy,1.2.3,No,Neutral,app okay job reasonably well
2024-09-04,Review title 448,Poor performance and not user-friendly.,2,user448,183,5,App Store,pt,Kenya,1.2.3,Yes,Negative,poor performance userfriendly
,Review title 267,Poor performance and not user-friendly.,1,user267,134,5,Flipkart,es,Nepal,2.1.4,Yes,Negative,poor performance userfriendly
,Review title 38,Works fine but there is room for improvement.,3,user38,80,8,Flipkart,es,Germany,1.2.3,Yes,Neutral,work fine room improvement
,Review title 364,"Terrible experience, needs major improvements.",2,user364,166,5,Google Play,de,Kenya,1.2.3,No,Negative,terrible experience need major improvement
,Review title 53,"Excellent app, very easy to use and extremely helpful.",4,user53,12,9,Google Play,fr,Nepal,5.0.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 258,Works fine but there is room for improvement.,3,user258,95,8,Google Play,zh,Italy,4.2.1,Yes,Neutral,work fine room improvement
2024-01-06,Review title 298,"Great experience, smooth performance and useful features.",4,user298,8,7,App Store,es,India,1.2.3,Yes,Positive,great experience smooth performance useful feature
2025-04-07,Review title 228,Very reliable and worth using regularly.,5,user228,113,6,Website,pt,Italy,3.5.6,No,Positive,reliable worth using regularly
,Review title 168,"Very disappointing experience, the app crashes often.",2,user168,44,7,Website,de,Kenya,3.5.6,Yes,Negative,disappointing experience app crash often
,Review title 237,"Waste of time, does not meet expectations.",2,user237,161,7,Website,ja,Poland,5.0.3,No,Negative,waste time meet expectation
,Review title 45,Amazing quality and user-friendly interface.,4,user45,69,5,Amazon,es,USA,1.2.3,Yes,Positive,amazing quality userfriendly interface
,Review title 486,Works fine but there is room for improvement.,3,user486,121,8,Website,zh,Italy,5.0.3,Yes,Neutral,work fine room improvement
,Review title 37,"Not satisfied, many bugs and issues.",1,user37,169,6,Website,hi,Nepal,5.0.3,No,Negative,satisfied many bug issue
,Review title 342,Very reliable and worth using regularly.,4,user342,169,6,App Store,fr,UK,4.2.1,No,Positive,reliable worth using regularly
,Review title 213,"Very disappointing experience, the app crashes often.",1,user213,164,7,Google Play,pt,Nepal,1.2.3,No,Negative,disappointing experience app crash often
,Review title 150,"Not satisfied, many bugs and issues.",2,user150,189,6,Google Play,hi,Kenya,2.1.4,Yes,Negative,satisfied many bug issue
2024-06-08,Review title 154,Works fine but there is room for improvement.,3,user154,113,8,Amazon,es,Poland,2.1.4,Yes,Neutral,work fine room improvement
,Review title 234,"Terrible experience, needs major improvements.",1,user234,135,5,Flipkart,de,Germany,1.2.3,Yes,Negative,terrible experience need major improvement
,Review title 60,Poor performance and not user-friendly.,2,user60,176,5,Amazon,de,India,1.2.3,No,Negative,poor performance userfriendly
,Review title 484,"Not satisfied, many bugs and issues.",2,user484,80,6,App Store,hi,Nepal,3.5.6,Yes,Negative,satisfied many bug issue
,Review title 486,Works fine but there is room for improvement.,3,user486,121,8,Website,zh,Italy,5.0.3,Yes,Neutral,work fine room improvement
,Review title 486,Works fine but there is room for improvement.,3,user486,121,8,Website,zh,Italy,5.0.3,Yes,Neutral,work fine room improvement
2025-02-05,Review title 408,"Excellent app, very easy to use and extremely helpful.",4,user408,56,9,App Store,ja,Italy,4.2.1,No,Positive,excellent app easy use extremely helpful
,Review title 133,Very reliable and worth using regularly.,4,user133,103,6,App Store,en,Nepal,1.2.3,Yes,Positive,reliable worth using regularly
2024-02-03,Review title 212,"Average experience, some features could be improved.",3,user212,184,7,App Store,hi,India,2.1.4,No,Neutral,average experience feature could improved
,Review title 104,"Great experience, smooth performance and useful features.",4,user104,120,7,Google Play,pt,USA,4.2.1,No,Positive,great experience smooth performance useful feature
,Review title 246,"Highly satisfied, the app works exactly as expected.",4,user246,19,8,App Store,hi,Germany,1.2.3,Yes,Positive,highly satisfied app work exactly expected
2024-07-01,Review title 22,Poor performance and not user-friendly.,1,user22,97,5,Amazon,ja,Germany,5.0.3,Yes,Negative,poor performance userfriendly
,Review title 281,"Excellent app, very easy to use and extremely helpful.",4,user281,58,9,Google Play,zh,Kenya,4.2.1,Yes,Positive,excellent app easy use extremely helpful
,Review title 3,"Terrible experience, needs major improvements.",2,user3,154,5,Flipkart,pt,USA,1.2.3,No,Negative,terrible experience need major improvement
,Review title 321,"Not bad, but updates are needed for better performance.",3,user321,153,9,App Store,fr,USA,2.1.4,Yes,Neutral,bad update needed better performance
,Review title 227,"Not bad, but updates are needed for better performance.",3,user227,143,9,Amazon,ja,Italy,3.5.6,Yes,Neutral,bad update needed better performance
,Review title 441,"Not bad, but updates are needed for better performance.",3,user441,74,9,Flipkart,zh,Qatar,4.2.1,No,Neutral,bad update needed better performance
,Review title 338,Poor performance and not user-friendly.,1,user338,11,5,Amazon,hi,Nepal,4.2.1,Yes,Negative,poor performance userfriendly
,Review title 338,Poor performance and not user-friendly.,1,user338,11,5,Amazon,hi,Nepal,4.2.1,Yes,Negative,poor performance userfriendly
,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No,Neutral,bad update needed better performance
,Review title 160,Poor performance and not user-friendly.,1,user160,6,5,Google Play,ja,USA,2.1.4,No,Negative,poor performance userfriendly
,Review title 452,"Not satisfied, many bugs and issues.",1,user452,50,6,Google Play,pt,Nepal,4.2.1,Yes,Negative,satisfied many bug issue
2025-01-03,Review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,App Store,pt,UK,3.5.6,Yes,Neutral,decent app neither good bad
,Review title 11,Works fine but there is room for improvement.,3,user11,190,8,Flipkart,en,France,1.2.3,No,Neutral,work fine room improvement
,Review title 179,Amazing quality and user-friendly interface.,4,user179,6,5,Google Play,de,Poland,5.0.3,No,Positive,amazing quality userfriendly interface
2024-01-02,Review title 141,"Not satisfied, many bugs and issues.",2,user141,136,6,Amazon,hi,Poland,4.2.1,Yes,Negative,satisfied many bug issue
,Review title 52,The app is okay and does its job reasonably well.,3,user52,185,10,Google Play,fr,Kenya,3.5.6,No,Neutral,app okay job reasonably well
2024-04-04,Review title 491,"Terrible experience, needs major improvements.",1,user491,12,5,Flipkart,en,Qatar,4.2.1,Yes,Negative,terrible experience need major improvement
2024-04-06,Review title 372,The app is okay and does its job reasonably well.,3,user372,184,10,Amazon,de,USA,2.1.4,Yes,Neutral,app okay job reasonably well
2024-05-04,Review title 367,"Waste of time, does not meet expectations.",1,user367,50,7,Website,zh,India,3.5.6,No,Negative,waste time meet expectation
2024-02-01,Review title 123,"Decent app, neither too good nor too bad.",3,user123,120,8,Amazon,de,USA,3.5.6,Yes,Neutral,decent app neither good bad
,Review title 352,Amazing quality and user-friendly interface.,5,user352,11,5,App Store,pt,India,3.5.6,Yes,Positive,amazing quality userfriendly interface
,Review title 310,"Great experience, smooth performance and useful features.",4,user310,6,7,App Store,ar,India,5.0.3,No,Positive,great experience smooth performance useful feature
